1 | Os arqueiros exigem flechas de aço valiriano para perfurar armaduras. | 2 | Comprar Melhoria | EFFECT_ARCHER_BONUS_DAMAGE | 20 | 5 | Recusar Pedido | EFFECT_PODER_PENALTY | 5 | 0
2 | Uma guilda de magos oferece proteção mística em troca de isenção fiscal. | 2 | Aceitar Pacto | EFFECT_WIZARD_BONUS_DAMAGE | 15 | 4 | Cobrar Impostos | EFFECT_GOLD_BONUS | 150 | 0
3 | Os engenheiros descobriram uma falha nos canhões, mas o reparo é caro. | 2 | Consertar Agora | EFFECT_CANNON_PENALTY_DAMAGE | -10 | 0 | Ignorar Falha | EFFECT_CANNON_PENALTY_DAMAGE | 20 | 3
4 | Uma seca severa atinge as fazendas do sul. O povo passa fome. | 2 | Abrir Celeiros | EFFECT_COMIDA_BONUS | 30 | 0 | Racionar Comida | EFFECT_SAUDE_PENALTY | 15 | 0
5 | Mercadores estrangeiros trazem materiais de construção baratos. | 2 | Comprar Lote | EFFECT_TOWER_PRICE_BONUS | 20 | 3 | Desconfiar | EFFECT_PODER_BONUS | 5 | 0
6 | Um nobre corrupto oferece ouro para ignorar seus crimes. | 2 | Aceitar Suborno | EFFECT_GOLD_BONUS | 300 | 0 | Prender Nobre | EFFECT_PODER_BONUS | 10 | 0
7 | Espiões relatam que os Orcs carregam mais ouro que o normal. | 2 | Emboscar | EFFECT_GOLD_BONUS_ORC | 50 | 5 | Fortificar Muros | EFFECT_SAUDE_BONUS | 10 | 0
8 | A população está doente devido à falta de saneamento. | 2 | Contratar Médicos | EFFECT_GOLD_PENALTY | 100 | 0 | Ignorar Peste | EFFECT_SAUDE_PENALTY | 20 | 0
9 | O sindicato dos construtores entra em greve por melhores salários. | 2 | Pagar Aumento | EFFECT_TOWER_PRICE_PENALTY | 15 | 5 | Oprimir Greve | EFFECT_PODER_BONUS | 15 | 0
10 | Um alquimista louco oferece uma poção para seus soldados. | 2 | Testar Poção | EFFECT_SAUDE_BONUS | 25 | 3 | Expulsar Louco | EFFECT_WIZARD_PENALTY_DAMAGE | 10 | 2
11 | Bandidos estão roubando o ouro dos inimigos mortos no campo. | 2 | Enviar Guarda | EFFECT_GOLD_BONUS_ENEMY | 20 | 4 | Deixar Roubarem | EFFECT_PODER_PENALTY | 10 | 0
12 | Uma celebração real pode aumentar o moral, mas custa caro. | 2 | Dar Festa | EFFECT_SAUDE_BONUS | 15 | 0 | Economizar | EFFECT_PODER_PENALTY | 5 | 0
13 | A pólvora estocada está úmida. | 2 | Secar ao Sol | EFFECT_CANNON_PENALTY_DAMAGE | 15 | 2 | Comprar Nova | EFFECT_GOLD_PENALTY | 120 | 0
14 | Os magos querem drenar a vitalidade do povo para aumentar seu poder. | 2 | Permitir Ritual | EFFECT_WIZARD_BONUS_DAMAGE | 40 | 3 | Proibir Magia | EFFECT_SAUDE_PENALTY | 10 | 0
15 | Arqueiros veteranos se oferecem para treinar novatos. | 2 | Financiar Treino | EFFECT_ARCHER_BONUS_DAMAGE | 10 | 99 | Dispensar | EFFECT_GOLD_BONUS | 50 | 0
16 | Uma mina de ouro foi descoberta nas terras do reino. | 2 | Explorar Mina | EFFECT_GOLD_BONUS | 500 | 0 | Proteger Natureza | EFFECT_COMIDA_BONUS | 20 | 0
17 | O povo exige representação nas decisões do castelo. | 2 | Criar Conselho | EFFECT_PODER_PENALTY | 10 | 0 | Reinar Absoluto | EFFECT_PODER_BONUS | 20 | 0
18 | Mercenários oferecem caçar inimigos por uma porcentagem. | 2 | Contratar | EFFECT_GOLD_BONUS_ENEMY | 30 | 5 | Recusar | EFFECT_GOLD_BONUS | 0 | 0
19 | Uma praga de ratos comeu parte dos suprimentos. | 2 | Queimar Estoque | EFFECT_COMIDA_PENALTY | 20 | 0 | Importar Comida | EFFECT_GOLD_PENALTY | 150 | 0
20 | A igreja quer abençoar as torres, mas exige dízimo. | 2 | Pagar Dízimo | EFFECT_TOWER_PRICE_PENALTY | 10 | 3 | Recusar Bênção | EFFECT_PODER_PENALTY | 5 | 0
21 | O general sugere usar táticas de terra arrasada contra Orcs. | 2 | Autorizar | EFFECT_CANNON_BONUS_DAMAGE | 30 | 3 | Negar Tática | EFFECT_COMIDA_BONUS | 10 | 0
22 | Um carregamento de varinhas mágicas foi interceptado. | 2 | Usar Varinhas | EFFECT_WIZARD_BONUS_DAMAGE | 20 | 3 | Vender Varinhas | EFFECT_GOLD_BONUS | 200 | 0
